,Mkt-RF,SMB,HML,RMW,CMA,RF,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199912,7.72,5.55,-8.67,-7.42,-5.16,0.44,24.8492,25.5744,7.8847,11.9942,7.6702,17.4653,11.9121,4.7332,3.8643,6.6951,15.9846,9.3534,-0.0235,4.0422,3.6092,21.2152,3.3231,0.7922,6.7216,4.7012,8.2042,1.8854,1.7527,-0.0446,-0.1332
200001,-4.74,4.12,-0.31,-5.94,4.68,0.41,9.9424,5.4182,4.8119,3.51,5.0479,0.4139,-2.175,-2.1809,0.5912,-2.8911,-3.3819,-4.8667,-1.7804,-3.7162,-6.811,-3.8982,-3.0533,-3.1213,-4.6854,-10.9026,-5.0343,-3.2124,-5.7165,-7.2367,-1.6292
200002,2.45,18.38,-9.93,-17.99,-0.51,0.43,38.9062,41.0516,21.8625,25.4004,14.7865,28.1757,17.6221,6.7396,7.6123,14.5348,24.6065,10.023,1.8461,-0.5754,-0.5327,26.2219,-0.0963,-1.3348,2.5794,-5.3577,0.5422,-5.3134,-10.0009,-10.1914,-8.2629
200003,5.2,-14.94,7.37,11.55,-1.06,0.47,-13.3536,-19.902,-8.6477,-6.4277,-3.0342,-13.4493,-4.7032,-1.8837,-0.1241,-1.5459,-14.9907,4.1432,10.52,6.8049,11.9225,-3.28,13.4028,14.0104,10.2395,13.1038,9.2568,11.4684,9.7693,16.0942,15.6473
200004,-6.4,-5.65,8.6,6.8,5.24,0.46,-23.5989,-17.7223,-9.7302,-11.3469,-9.755,-12.4397,-8.4027,-4.239,-2.78,-2.6199,-9.8816,0.362,-2.9187,3.9148,0.1323,-7.4438,-2.3261,3.6734,-0.0932,2.0394,-4.4725,-3.3356,3.2869,2.7037,6.6697
200005,-4.42,-3.7,2.56,4.08,0.73,0.5,-13.9803,-9.68,-4.76,-8.0351,-6.7169,-10.2053,-4.8943,-5.947,-7.5208,-0.9005,-4.9322,-3.5574,-1.0858,-0.4146,2.4644,-7.7604,1.2174,-1.8499,0.0572,0.1358,-3.7172,0.1409,4.2558,0.4599,-4.7119
200006,4.64,10.29,-9.86,-7.22,-3.06,0.4,29.941,27.0061,17.3776,18.3196,10.6667,14.0875,10.9986,3.9755,4.8658,9.3166,15.3067,1.5408,0.3881,-0.9824,2.4135,10.962,2.802,-3.4015,-3.2936,-4.418,5.8573,-4.2139,-7.5305,-8.547,-7.7357
200007,-2.51,-1,8.14,5.45,3,0.48,-8.6569,-1.2244,0.7547,1.2628,1.3722,-7.6883,-1.0409,1.6073,0.9076,2.1604,-10.3197,-0.7341,3.1866,4.0126,8.3669,-7.0811,-1.2369,2.9974,3.3529,1.2843,-2.9641,0.1256,5.7327,8.2825,1.1313
200008,7.03,-1.1,-0.68,-3.05,0.61,0.5,9.2427,8.5852,3.9515,5.5087,5.1261,8.0323,3.7308,5.0302,6.1396,7.0064,8.7265,9.4063,6.8879,6.5999,7.7099,13.6081,6.6732,5.1142,7.5583,5.4526,7.4373,7.4049,10.173,1.8782,12.8571
200009,-5.45,0.22,6.24,3.37,6.38,0.51,-10.3294,-0.9463,-3.771,-0.1146,-0.8642,-4.6506,-2.9449,0.1777,-1.2018,-2.2319,-10.3395,-2.6361,0.6181,2.6816,-1.1747,-9.4227,-0.1811,-0.8958,2.6549,-3.1432,-6.0674,-2.7001,4.3584,6.7978,-3.8128
200010,-2.76,-2.81,5.52,9.55,4.7,0.56,-11.9783,-10.5066,-2.4478,-5.8901,-4.1986,-9.1108,-0.7884,-0.9801,0.1337,-1.8035,-10.4931,-1.4666,-1.3953,0.4934,2.7924,-5.5775,1.8422,2.9075,-1.8598,4.1968,-2.1609,1.8555,-3.9877,4.1607,0.1889
200011,-10.72,-0.47,11.3,12.82,8.51,0.51,-20.8919,-12.47,-6.6744,-4.3206,-4.4848,-18.0639,-6.1976,-2.9189,-4.1901,-3.7538,-19.9849,-7.0867,-5.7828,0.6274,1.8593,-18.5873,-0.4591,0.3545,2.1407,-1.0361,-10.6093,-5.6545,-5.0092,-1.795,-5.8513
